,merge,value,date,add_time,full_date
0,2021-01-04,1,2021-01-04T05:00:00.000Z,05:00:00.000Z,"January 04, 2021"
1,2021-01-06,3,2021-01-06T05:00:00.000Z,05:00:00.000Z,"January 06, 2021"
2,2021-01-07,6,2021-01-07T05:00:00.000Z,05:00:00.000Z,"January 07, 2021"
3,2021-01-11,2,2021-01-11T05:00:00.000Z,05:00:00.000Z,"January 11, 2021"
4,2021-01-12,5,2021-01-12T05:00:00.000Z,05:00:00.000Z,"January 12, 2021"
5,2021-01-13,4,2021-01-13T05:00:00.000Z,05:00:00.000Z,"January 13, 2021"
6,2021-01-14,2,2021-01-14T05:00:00.000Z,05:00:00.000Z,"January 14, 2021"
7,2021-01-15,2,2021-01-15T05:00:00.000Z,05:00:00.000Z,"January 15, 2021"
8,2021-01-17,1,2021-01-17T05:00:00.000Z,05:00:00.000Z,"January 17, 2021"
9,2021-01-18,8,2021-01-18T05:00:00.000Z,05:00:00.000Z,"January 18, 2021"
10,2021-01-19,3,2021-01-19T05:00:00.000Z,05:00:00.000Z,"January 19, 2021"
11,2021-01-20,4,2021-01-20T05:00:00.000Z,05:00:00.000Z,"January 20, 2021"
12,2021-01-21,3,2021-01-21T05:00:00.000Z,05:00:00.000Z,"January 21, 2021"
13,2021-01-22,1,2021-01-22T05:00:00.000Z,05:00:00.000Z,"January 22, 2021"
14,2021-01-25,2,2021-01-25T05:00:00.000Z,05:00:00.000Z,"January 25, 2021"
15,2021-01-26,9,2021-01-26T05:00:00.000Z,05:00:00.000Z,"January 26, 2021"
16,2021-01-27,3,2021-01-27T05:00:00.000Z,05:00:00.000Z,"January 27, 2021"
17,2021-01-28,6,2021-01-28T05:00:00.000Z,05:00:00.000Z,"January 28, 2021"
18,2021-01-29,2,2021-01-29T05:00:00.000Z,05:00:00.000Z,"January 29, 2021"
19,2021-02-01,2,2021-02-01T05:00:00.000Z,05:00:00.000Z,"February 01, 2021"
20,2021-02-02,1,2021-02-02T05:00:00.000Z,05:00:00.000Z,"February 02, 2021"
21,2021-02-03,6,2021-02-03T05:00:00.000Z,05:00:00.000Z,"February 03, 2021"
22,2021-02-04,8,2021-02-04T05:00:00.000Z,05:00:00.000Z,"February 04, 2021"
23,2021-02-05,2,2021-02-05T05:00:00.000Z,05:00:00.000Z,"February 05, 2021"
24,2021-02-08,1,2021-02-08T05:00:00.000Z,05:00:00.000Z,"February 08, 2021"
25,2021-02-09,6,2021-02-09T05:00:00.000Z,05:00:00.000Z,"February 09, 2021"
26,2021-02-10,7,2021-02-10T05:00:00.000Z,05:00:00.000Z,"February 10, 2021"
27,2021-02-11,1,2021-02-11T05:00:00.000Z,05:00:00.000Z,"February 11, 2021"
28,2021-02-13,1,2021-02-13T05:00:00.000Z,05:00:00.000Z,"February 13, 2021"
29,2021-02-15,1,2021-02-15T05:00:00.000Z,05:00:00.000Z,"February 15, 2021"
30,2021-02-16,3,2021-02-16T05:00:00.000Z,05:00:00.000Z,"February 16, 2021"
31,2021-02-17,6,2021-02-17T05:00:00.000Z,05:00:00.000Z,"February 17, 2021"
32,2021-02-18,3,2021-02-18T05:00:00.000Z,05:00:00.000Z,"February 18, 2021"
33,2021-02-19,1,2021-02-19T05:00:00.000Z,05:00:00.000Z,"February 19, 2021"
34,2021-02-21,5,2021-02-21T05:00:00.000Z,05:00:00.000Z,"February 21, 2021"
35,2021-02-22,3,2021-02-22T05:00:00.000Z,05:00:00.000Z,"February 22, 2021"
36,2021-02-23,2,2021-02-23T05:00:00.000Z,05:00:00.000Z,"February 23, 2021"
37,2021-02-24,4,2021-02-24T05:00:00.000Z,05:00:00.000Z,"February 24, 2021"
38,2021-02-25,5,2021-02-25T05:00:00.000Z,05:00:00.000Z,"February 25, 2021"
39,2021-02-26,3,2021-02-26T05:00:00.000Z,05:00:00.000Z,"February 26, 2021"
40,2021-02-28,2,2021-02-28T05:00:00.000Z,05:00:00.000Z,"February 28, 2021"
41,2021-03-01,1,2021-03-01T05:00:00.000Z,05:00:00.000Z,"March 01, 2021"
42,2021-03-02,1,2021-03-02T05:00:00.000Z,05:00:00.000Z,"March 02, 2021"
43,2021-03-03,3,2021-03-03T05:00:00.000Z,05:00:00.000Z,"March 03, 2021"
44,2021-03-04,3,2021-03-04T05:00:00.000Z,05:00:00.000Z,"March 04, 2021"
45,2021-03-06,1,2021-03-06T05:00:00.000Z,05:00:00.000Z,"March 06, 2021"
46,2021-03-08,3,2021-03-08T05:00:00.000Z,05:00:00.000Z,"March 08, 2021"
47,2021-03-09,3,2021-03-09T05:00:00.000Z,05:00:00.000Z,"March 09, 2021"
48,2021-03-10,3,2021-03-10T05:00:00.000Z,05:00:00.000Z,"March 10, 2021"
49,2021-03-11,7,2021-03-11T05:00:00.000Z,05:00:00.000Z,"March 11, 2021"
50,2021-03-15,1,2021-03-15T04:00:00.000Z,04:00:00.000Z,"March 15, 2021"
51,2021-03-16,6,2021-03-16T04:00:00.000Z,04:00:00.000Z,"March 16, 2021"
52,2021-03-17,5,2021-03-17T04:00:00.000Z,04:00:00.000Z,"March 17, 2021"
53,2021-03-18,4,2021-03-18T04:00:00.000Z,04:00:00.000Z,"March 18, 2021"
54,2021-03-21,5,2021-03-21T04:00:00.000Z,04:00:00.000Z,"March 21, 2021"
55,2021-03-22,2,2021-03-22T04:00:00.000Z,04:00:00.000Z,"March 22, 2021"
56,2021-03-23,4,2021-03-23T04:00:00.000Z,04:00:00.000Z,"March 23, 2021"
